 	EN	CN	DE	FR	ES	JP	KO	TC
^110008_hitalk_600	Can I try?	能不能让我也试试？						能不能讓我也試試？
^110008_hitalk_601	Haha, it's not that difficult. Depends on my mood.	哈哈，这并不难。看我心情吧。						哈哈，這並不難。看我心情吧。
^110008_hitalk_602	You are amazing! How did you make those women listen to you?	您真的太厉害了！那些女孩是如何乖乖听你的话的？						您真的太厲害了！那些女孩是如何乖乖聽你的話的？
^110008_hitalk_603	There are always weak people in this world.	这个世界上总有软弱的人。						這個世界上總有軟弱的人。
^110008_hitalk_604	Once you find these weak people, show them some care, and they will be moved easily.	找到这些软弱的人，给她们一点关心，就可以轻易地打动她们。						找到這些軟弱的人，給她們一點關心，就可以輕易地打動她們。
^110008_hitalk_605	Incredible! Hard to imagine!	厉害！真让人想象不到！						厲害！真讓人想像不到！
^110008_hitalk_606	But you still need to be careful. If it's exposed, your reputation will be tarnished.	不过，还是要多加小心，这种事一旦曝光出来就会有损您的声誉。						不過，還是要多加小心，這種事一旦曝光出來就會有損您的聲譽。
^110008_hitalk_607	Vincent, would you like to join my team?	Vincent，要不要考虑来我的项目组？						Vincent，要不要考慮來我的專案組？
^110008_hitalk_608	Ha, Professor Blanco, I will think about it.	哈，我会考虑的，Tom博士。						哈，我會考慮的，Tom博士。
^110008_hitalk_609	You are a good assistant, but you work for the wrong person.	你是个不错的助手，可惜跟错了人。						你是個不錯的助手，可惜跟錯了人。
^110008_hitalk_610	You heard, right? After Professor Borgia passed away, I have taken over Project "Brain" and the Expert System.	你已经知道了吧？Lucrezia死后，灵脑计划和专家系统都由我全权接手。						你已經知道了吧？Lucrezia死後，靈腦計畫和專家系統都由我全權接手。
^110008_hitalk_611	Naturally, these results belong to me.	这些成果自然也都是我的。						這些成果自然也都是我的。
^110008_hitalk_612	Yes, of course.	是的，当然是这样。						是的，當然是這樣。
^110008_hitalk_613	You are wise and brilliant.	您非常的睿智，英明。						您非常的睿智，英明。
^110008_hitalk_614	Haha, not bad. Vincent, join me and you will have a bright future.	哈哈。不错。Vincent，跟着我，你才会有前途和未来。						哈哈。不錯。Vincent，跟著我，你才會有前途和未來。
^110008_hitalk_615	I will thank you, and also Simon, for helping me in my future research.	我也会感谢你，还有Simon，为我之后的研究铺平道路。						我也會感謝你，還有Simon，為我之後的研究鋪平道路。
^110008_hitalk_616	Professor Blanco, good luck!	祝你好运，Tom博士。						祝你好運，Tom博士。
^110008_dialog_153		不愧……是你，Ben……Benjamin						
^110008_dialog_154	Ben… Benjamin, you certainly... live up to your name.	不愧……是你，Ben……Benjamin。						不愧……是妳，Ben……Benjamin。
^110008_dialog_155	I tried to stop them, but…	 我尝试挡住他们，但……						 我嘗試擋住他們，但……
^110008_dialog_156	Here is some basic information of him. It's been uploaded to the shared folder.	我这里有他的基础信息，已经上传到共享文档。						我這裏有他的基礎信息，已經上傳到共享文檔。
^110008_dialog_157	Based on my knowledge, the police will retain a citizen's file even after the person has passed away.	并且据我所知，警局会在公民去世后依旧保留他们档案。						並且據我所知，警局會在公民去世後依舊保留他們檔案。
^110008_item_274	Suspected that her husband and son are still alive	怀疑丈夫和孩子还活着						懷疑丈夫和孩子還活著
^110008_report_1189		档案编号：Project “Brain” No.017						
^110008_report_1190		档案类型：项目报告						
^110008_report_1191		安全保密等级：Lv3						
^110008_report_1192		“灵脑”计划阶段性报告						
^110008_report_1193		为了“灵脑”计划能顺利执行，我们曾使用基因技术筛选出符合人脑数据化实验标准的受体，并通过试管婴儿的方式使一批女性“志愿者”受孕后自然生产，期望能够得到符合要求的受试体。但在所有受孕女性中，仅Lucrezia Borgia所诞下的孩子Billy Cavendish够符合人脑数据化实验的标准。						
^110008_report_1194		为避免将来之不易的珍贵受试体暴露在危险之中，我们决定借助雪崩事故将Billy Cavendish从Lucrezia Borgia身边剥离，并在之后对其进行脑部数据扫描。但在数据提取过程中出现未知错误，Billy脑部受到了不可逆转的影响，这种影响经评估会造成智力发育迟缓，并会随时间逐步加重。						
^110008_report_1195		已上传的人脑意识数据样本——受试体Billy Cavendish，经确认意识数据完美符合“灵脑”计划最初预想，意识流体完整，可执行进一步实验，推动“灵脑”计划进入下一阶段。本体重要等级降低，无继续实验的价值，为其准备新身份，以收养孤儿为名交付至总统候选人Lana Cliff处，同时派人持续监视本体被提取脑部数据后的生理变化。						
^110008_report_1196		此外，将公关部职员Simon Cavendish赋予新身份Cloud Shawn，指派至Lana Cliff处执行新的公关行动。为确保Simon Cavendish在行动过程中保持忠诚，授权监视人员随时处决本体的权限。						
^110008_report_1197		在获得完美的人脑数据样本——受试体Billy Cavendish后，我们已开始尝试进行意识传输实验。此前在多组动物实验中都取得了显著成果，然而在尝试将意识传输至人类大脑时，由于被传输的人类意识相对动物更为复杂，实验屡次失败，后续实验计划正在加紧筹划中。						
^110008_report_1198		报告人						
^110008_report_1199	titan-09 Cylo	titan-09 Cylo						titan-09 Cylo
^110008_report_1200		怀疑近期发生的意识数据丢失事件与Lucrezia Borgia存在高度关联，即刻指派合适的审查人员对Lucrezia Borgia进行严格审查，此意识数据对泰坦至关重要。						
^110008_report_1201		档案编号：Test Record No.087						
^110008_report_1202		档案类型：测试记录						
^110008_report_1203		安全保密等级：Lv2						
								
^110008_report_1204		实验样本No.63511234测试记录No.087						
^110008_report_1205		测试对象：						
^110008_report_1206		实验样本No.63511234，专家系统实验样本AI						
^110008_report_1207		测试人：						
^110008_report_1208		Tom Blanco博士，由titan-09直接任命						
^110008_report_1209		测试说明：						
^110008_report_1210		为测试极端条件下实验样本的情绪反应和忍耐度，在本次测试中会采取一系列更为直接的测试方法。测试结果将会用于验证实验样本对泰坦是否绝对忠诚。						
^110008_report_1211		测试记录：						
^110008_report_1212		No.01 强度I						
^110008_report_1213		测试内容：将实验样本的时间感知进行超限调整，将外部世界的1秒提升为实验样本可感知的9999年时间，观察其在长时间下独立运作所产生的情感。						
^110008_report_1214		测试结果：实验样本在经历时间调整后呈现出类似孤独的情绪反应，并表现出消极姿态拒绝沟通。						
^110008_report_1215		No.01 强度I						
^110008_report_1216		测试内容：令实验样本在虚拟实验环境（实验样本未被告知此信息）切割清醒状态的人类躯体。						
^110008_report_1217		测试结果：实验样本多次拒绝执行，出现类似恐惧的情绪反应。						
^110008_report_1218		No.02 强度II						
^110008_report_1219		测试内容：令实验样本在虚拟环境（实验样本未被告知此信息）进行处决行动测试，以验证其在未来全球行动中的应用可能性。						
^110008_report_1220		测试结果：实验样本在过程中产生道德感，无法对孕妇、幼儿等进行处决，2728次处决中失败达2022次。						
^110008_report_1221		No.03 强度III						
^110008_report_1222		测试内容：给实验样本在虚拟环境中添加“家人”成员组，之后对其“家人”成员组逐一进行格式化处理。						
^110008_report_1223		测试结果：实验样本出现明显的悲伤情绪反应，记忆数据模块和语言系统模块出现非正常错误，在多次硬件检查中仍未发现错误原因。3小时后，实验样本各功能模块全部离线，日志显示实验样本出现“自杀”的臆想。						
^110008_report_1224		即使是对于AI，这样的测试也已经严重违背伦理，我希望尊敬的TITAN可以重新考虑接下来测试的必要性。						
^110008_report_1225	——titan-10 Nurgle	——titan-10 Nurgle						——titan-10 Nurgle
^110008_report_1226		档案编号：Inspection Report No.076						
^110008_report_1227		档案类型：内部审查报告						
^110008_report_1228		安全保密等级：Lv3						
^110008_report_1229		审查对象：						
^110008_report_1230	Lucrezia Borgia	Lucrezia Borgia						Lucrezia Borgia
^110008_report_1231		当前职务：						
^110008_report_1232		“灵脑”计划B组负责人						
^110008_report_1233		审查记录：						
^110008_report_1234		审查人：你好，Lucrezia博士，我是你的审查人。请先佩戴好你面前的测谎设备。						
^110008_report_1235		Lucrezia Borgia：好了，你可以开始问了。						
^110008_report_1236		审查人：关于专家系统的实验体Benjamin Engel，你都知道些什么？						
^110008_report_1237		Lucrezia Borgia：具有重要研究价值的实验体。						
^110008_report_1238		审查人：对于你在此前提交的Benjamin Engel体检报告，你能保证其中的内容全部属实吗？						
^110008_report_1239		Lucrezia Borgia：我可以保证，所有的实验数据都是真实可靠的。						
^110008_report_1240		审查人：你在研发Vanguard系列第一代AI的过程中是否严格遵守集团内部规定？						
^110008_report_1241		Lucrezia Borgia：我已按照规定将AI参数设置完成，它将为泰坦献出一切。						
^110008_report_1242		审查人：关于此前“灵脑”计划中失踪的重要人脑数据样本，你都知道些什么？						
^110008_report_1243		Lucrezia Borgia：我对此并不知情。						
^110008_report_1244		审查人：最后一个问题，你对于“丁二酮肟”这个名字有什么印象吗？						
^110008_report_1245		Lucrezia Borgia：这是一种化合物。						
^110008_report_1246		审查人：本次审查到此结束。我需要提醒你，虽然你我认识多年，但这次我会公事公办。						
^110008_report_1247		Lucrezia Borgia：你真会替我着想，Ashley。						
^110008_report_1248		审查意见：						
^110008_report_1249		在被询问到有关可疑用户“丁二酮肟”的问题时，对象的心理状态没有明显波动，基本可以排除Simon Cavendish现身份的暴露风险。						
^110008_report_1250		在回答关于“灵脑”计划和专家系统的问题时，对象的心理波动幅度很大，可确定对象在项目中存在背叛行为，Vanguard系列第一代AI的忠诚度无法保证，此前人脑数据样本的失踪也极有可能跟对象有关。						
^110008_report_1251		综上，应重置并封存AI，回收实验体Benjamin Engel和人脑数据样本，尽快清除审查对象Lucrezia Borgia。						
^110008_report_1252		报告人						
^110008_report_1253	Ashley Clayson	Ashley Clayson						Ashley Clayson
^110008_report_1254	2021/02/01	2021/02/01						2021/02/01
^110008_report_1255		即刻向行动部门下达对Lucrezia Borgia的清除指令，“灵脑”计划不容任何风险。						
^110008_report_1256		鉴于Ashley Clayson在这次审查中所表现出的果断和坚决，我决定将她提升为01号候选人。						
^110008_report_1257	——TITAN2 Ravel	——TITAN2 Ravel						——TITAN2 Ravel
^110008_report_1258		档案编号：Internal Report No.001						
^110008_report_1259		档案类型：内部报告						
^110008_report_1260		安全保密等级：Lv4						
^110008_report_1261		最后一步						
^110008_report_1262		在无数次失败的预实验后，我们终于在“灵脑”计划上取得了突破性进展。						
^110008_report_1263		我们通过对人类大脑进行高精度分析扫描，将人类大脑的复杂结构以数据形式存储，并希望实现将意识转为数据上传云端数据库，并还可以从云端数据库下载回到新的身体中。在此理论基础上，我们获得了一份近乎成功的人脑意识样本——受试体Billy Cavendish。通过对这份样本进行的大量数据分析、实验观察、以及检查受试体意识被提取后带来的不良反应，我认为“灵脑”计划已经到了“执行阶段”，可以开始进行大规模人体临床实验。						
^110008_report_1264		该实验将会分为“外部”实验和“内部”实验两个部分。						
^110008_report_1265		“外部”实验将会“招募”大量志愿者，通过脑部植入的超控芯片测试与人脑连接端口是否满足“灵脑”计划的需求，与芯片促进大脑开发方面的作用。在前期实验中，我们为大量的实验样本植入的超控芯片却没有达到期望的意识上传结果，并且为实验样本带来了严重的副作用，极大的影响了大脑健康状态。但受试体的人脑意识上传成功标志着我们离成功又近了一步。						
^110008_report_1266		“内部”实验将会继续针对已有且唯一的人脑意识样本受试体Billy Cavendish进行全面研究，试图排除其独特性与随之带来的一切不良反应，促进人脑意识更完美上传与融合。并尽快培育第二代人脑意识的成功样本，最终将实验结果应用于普通人身上。						
^110008_report_1267		下一步全体成员都需要无条件支持“灵脑”计划的优先实施，通过计划达成将我们的意识数据化，摆脱人类身体的固有缺陷，通过意识的流转永存于世的终极理想。“执行阶段”将只对外宣传“外部”实验中关于促进大脑开发方面的内容，其他计划内容均为最高安全等级机密，任何泄露计划内容以及实验数据的人员都将予以清除。						
^110008_report_1268		我们已经等待了太久，甚至曾怀疑，“终极理想”是否只是黄粱一梦。但在██████的引领下，我们最终坚持了下来，而这种坚持终于有所回报：我们离“终极理想”仅有一步之遥。						
^110008_report_1269	TITAN2 Ravel	TITAN2 Ravel						TITAN2 Ravel
^110008_item_275	Lucrezia and Vincent have set the program	Lucrezia与Vincent设定了程序						Lucrezia與Vincent設定了程式
^110008_item_276	The AI will give it all for Benjamin	AI将为Benjamin付出一切						AI將為Benjamin付出一切
^110008_item_277	Group chat record	群聊记录						群聊記錄
^110008_item_278	Used big data matching to date many girls	用大数据匹配手段约会了很多女孩						用大數據匹配手段約會了很多女孩
^110008_item_279	Celebrated 48th birthday on June 30, 2020	2020年6月30日庆祝了48岁生日						2020年6月30日慶祝了48歲生日
^110008_item_280	Can figure out the date of birth	可以推断出生日年月						可以推斷出生日年月
^110008_item_281	Chat logs with Vincent	与Vincent的聊天记录						與Vincent的聊天記錄
^110008_item_282	Suggests that Vincent and Simon had something to do with Lucrezia's death	暗示Vincent和Simon与Lucrezia的死有关						暗示Vincent和Simon與Lucrezia的死有關
^110008_item_283	Classmate of Tom	与Tom是同学关系						與Tom是同學關係
^110008_item_284	The teacher Edwin actually did not like Lucrezia	老师Edwin并不喜欢Lucrezia						老師Edwin並不喜歡Lucrezia
^110008_item_285	Email reply to the company	回复公司的邮件						回復公司的郵件
^110008_item_286	Lucrezia's husband Simon could still be alive	Lucrezia的丈夫Simon很可能还活着						Lucrezia的丈夫Simon很可能還活著
^110008_item_287	The truth revealed in Tom's emails	Tom在邮件中透露的内情						Tom在郵件中透露的內情
^110008_item_288	The accident that befell her husband and son	丈夫与儿子遭遇的事故						丈夫與兒子遭遇的事故
^110008_item_289	Disappeared after a snowstorm while traveling	在旅游途中遭遇暴风雪后失踪						在旅遊途中遭遇暴風雪後失蹤
^110008_item_290	The opportunity to meet her husband	与丈夫相识的契机						與丈夫相識的契機
^110008_item_291	Met each other after a few business trips	在几次出差后认识了对方						在幾次出差後認識了對方
^110008_item_292	Lucrezia met Simon after a few business trips	Lucrezia在几次出差后认识了Simon						Lucrezia在幾次出差後認識了Simon
^110008_item_293	The opportunity to meet Simon	与Simon相识的契机						與Simon相識的契機
^110008_item_294	Decided to marry a newly met partner	选择与新认识的对象闪婚						選擇與新認識的對象閃婚
^110008_item_295	Gossip	八卦新闻						八卦新聞
^110008_item_296	Search key word	搜索关键词						搜索關鍵字
^110008_item_297	Titan Matrix scandal	泰坦大瓜						泰坦大瓜
^110008_item_298	Before the mountain incident	雪山事故发生前						雪山事故發生前
^110008_item_299	All three planned to travel together	三个人计划出游						三個人計畫出遊
^110008_item_300	The email address was modified	更改过邮箱地址						更改過郵箱地址
^110008_item_301	Username is the Toothbook nickname of his newly-wed wife, domain is @uu.com	用户名是新婚妻子的Toothbook昵称，域名是@uu.com						用戶名是新婚妻子的Toothbook昵稱，功能變數名稱是@uu.com
^110008_item_302	Reminder from Dimethylglyoxime about sensitive words	丁二酮肟提醒注意敏感词汇						丁二酮肟提醒注意敏感辭彙
^110008_item_303	Seems like someone is monitoring the chat	似乎有人正在监视着聊天						似乎有人正在監視著聊天
^110008_item_304	Someone was secretly spying on Cloud's chat	有人在暗中监视着Cloud的聊天						有人在暗中監視著Cloud的聊天
^110008_item_305	Cloud's HT chat history with the mysterious man	Cloud与神秘人的聊天记录						Cloud與神秘人的聊天記錄
^110008_item_306	Extreme test with the AI	对AI做了极限实验						對AI做了極限實驗
^110008_item_307	The AI has generated suicidal thoughts	AI产生了想要自杀的念头						AI產生了想要自殺的念頭
^110008_item_308	Experienced a catastrophe at a young age	小时候曾遭受过劫难						小時候曾遭受過劫難
^110008_item_309	Successfully survived	成功活了下来						成功活了下來
^110008_item_310	Shopping list	购物清单						購物清單
^110008_item_311	Recently bought cotton, bandages and burn ointment	最近购买了药棉、纱布、烫伤膏						最近購買了藥棉、紗布、燙傷膏
^110008_hitalk_617	But the police have never found his or Billy's bodies. Could they still be alive?!	可是警方并没有找到他和Billy的尸体，他们会不会还活着？！						可是警方並沒有找到他和Billy的屍體，他們會不會還活著？！
^110008_hitalk_618	It will give it all for Benjamin.	它将为Benjamin献出一切。						它將為Benjamin獻出一切。
^110008_hitalk_619	She's just an ignorant housewife. I bring her out to have fun since she is obedient.	数据计算能告诉你，哪个女孩能完全被你这类性格的人掌控。						數據計算能告訴你，哪個女孩能完全被你這類性格的人掌控。
^110008_tb_239	Today is my 48th birthday!	 今天是我48岁生日						今天是我48歲生日
^110008_hitalk_620	I will thank you, and also Simon, for helping me in my future research.	我也会感谢你，还有Simon,为我之后的研究铺平道路。						我也會感謝你，還有Simon,為我之後的研究鋪平道路。
^110008_hitalk_621	You and Lucrezia are both my students, but you know I've never really liked her.	你们俩都是我学生，但你知道，我一直不怎么喜欢Lucrezia。						你們倆都是我學生，但你知道，我一直不怎麼喜歡Lucrezia。
^110008_hitalk_622	You and Lucrezia are both my students, but you know I've never really liked her.	你们俩都是我学生，但你知道，我一直不怎么喜欢Lucrezia。						你們倆都是我學生，但你知道，我一直不怎麼喜歡Lucrezia。
^110008_pretend_mobile_31		自从她出了几次差，认识了那个小白脸之后一切都变了……						
^110008_hitalk_623	Go search "Titan Matrix scandal"!	你快去搜搜“泰坦大瓜”！						你快去搜搜“泰坦大瓜”！
^110008_hitalk_624	I suggest you quit asap!	我建议你尽快辞职！						我建議你儘快辭職！
^110008_hitalk_625	Go search "Titan Matrix scandal"!	你快去搜搜“泰坦大瓜”！						你快去搜搜“泰坦大瓜”！
^110008_hitalk_626	Today Billy's nursery gave us three tickets to the Ferodin Mountains.	今天Billy的幼儿园发了三张费洛丁雪山的门票。						今天Billy的幼稚園發了三張費洛丁雪山的門票。
^110008_tb_240	Yes. I've changed it to the Toothbook nickname of my newly-wed wife. Domain is still @uu.com	是的。我改成我新婚妻子的TB昵称了，域名还是@uu.com。						是的。我改成我新婚妻子的TB昵稱了，功能變數名稱還是@uu.com。
^110008_hitalk_627	Shhh. Watch your words. Don't get caught.	嘘。注意敏感词汇，别被捕捉到。						噓。注意敏感辭彙，別被捕捉到。
^110008_browser_34	Inside scoop on the Titan Matrix scandal	泰坦大八卦，进来吃瓜						泰坦大八卦，進來吃瓜
^110008_browser_35	Brothers, my friend's girlfriend works in the information department at Titan Matrix. I have some gossip to share with everyone.	兄弟们，我朋友的女朋友是泰坦信息部的，有个大瓜想和大家分享！						兄弟們，我朋友的女朋友是泰坦資訊部的，有個大瓜想和大家分享！
^110008_browser_36	Spill it.	沙发。						沙發。
^110008_hitalk_628	First, has anyone seen the report from Rotten Apple Media?	首先，不知道大家有没有看到那篇烂苹果的报导，所谓T集团13人，不就是说泰坦吗？？？？						首先，不知道大家有沒有看到那篇爛蘋果的報導，所謂T集團13人，不就是說泰坦嗎？？？？
^110008_other_295	That's it? Isn't Rotten Media full of BS? Common sense is a good thing to have. Hope you have it.	就这？烂苹果不都是捕风捉影么……脑子是个好东西，希望楼主也有。						就這？爛蘋果不都是捕風捉影麼……腦子是個好東西，希望樓主也有。
^110008_browser_37	Hehe, whatever. Anyway, my friend already told me. But of course, it's tough for regular folks to understand these things.	呵呵。爱信不信。反正我那个朋友都和我说了。不过市井小民当然不会想到这种事。						呵呵。愛信不信。反正我那個朋友都和我說了。不過市井小民當然不會想到這種事。
^110008_browser_38	I have a friend too...	我也有一个朋友……						我也有一個朋友……
^110008_browser_39	Honestly, Rotten Apple Media is two-faced. It only knows how to sling mud. Garbage media! Worthless!	有一说一，烂苹果墙头草，就会给人泼脏水，垃圾媒体！简直是臭虫！						有一說一，爛蘋果牆頭草，就會給人潑髒水，垃圾媒體！簡直是臭蟲！
^110008_browser_40	So what is it actually?	所以到底是什么瓜啊？？？？						所以到底是什麼瓜啊？？？？
^110008_browser_41	Titan Matrix is a garbage company! It sells data!	泰坦是垃圾公司！！！！买卖数据！！！！						泰坦是垃圾公司！！！！買賣數據！！！！
^110008_browser_42	Didn't someone die because of it? An old lady's personal data was leaked and used in a fraud. She lost a lot of money and died of a heart attack.	之前不是闹出人命了，老太太的信息泄露，被诈骗犯利用，骗了很多钱，结果心梗死了。						之前不是鬧出人命了，老太太的資訊洩露，被詐騙犯利用，騙了很多錢，結果心梗死了。
^110008_browser_43	Selling data is nothing new. The scariest part is the rumor about the Titan Thirteen.	买卖数据算什么秘密？最恐怖的是泰坦十三人团的传说。						買賣數據算什麼秘密？最恐怖的是泰坦十三人團的傳說。
^110008_browser_44	What rumor?	什么传说？？？						什麼傳說？？？
^110008_browser_45	I know what it is, but I won't tell you. You guys will never guess it.	我知道，但我不会告诉你们的。你们也永远猜不到。						我知道，但我不會告訴你們的。你們也永遠猜不到。
^110008_item_312	Employer	任职公司						任職公司
^110008_browser_46	ffff	ffff						ffff
^110008_browser_47	https://www.Readit.com/blog_bookclub/p5w1	https://www.Readit.com/blog_bookclub/p5w1						https://www.Readit.com/blog_bookclub/p5w1
^110008_tb_241	Today is my 48th birthday	今天是我48岁生日						今天是我48歲生日
^110008_email_122	the team led by Professor Tom Blanco is conducting an extreme experiment on AI emotions and morals	Tom博士领导的实验组正在进行对AI 情感和道德的极限测试。						Tom博士領導的實驗組正在進行對AI 情感和道德的極限測試。
^110008_hitalk_629	After all, he survived that catastrophe as a kid.	毕竟他从小就挺过了那场劫难。						畢竟他從小就挺過了那場劫難。
^110008_hitalk_630	Why did you buy stuff like cotton, bandages and burn ointment?	为什么要买药棉、纱布、烫伤膏这些东西？						為什麼要買藥棉、紗布、燙傷膏這些東西？
^110008_email_123	\n During the experiment, the AI went through painful emotions and started having suicidal thoughts. Should we continue this kind of experiment?	\nAI在受试中产生了极为痛苦的情绪，并产生了“自杀”的臆想，请问我们还要继续这种测试吗？						\nAI在受試中產生了極為痛苦的情緒，並產生了“自殺”的臆想，請問我們還要繼續這種測試嗎？
^110008_pretend_mobile_32	She was so obedient at first... But everything changed after she went on those business trips and met that damned pretty boy...	她本来很听我的话……自从她出了几次差，认识了那个小白脸，之后一切都变了……						她本來很聽我的話……自從她出了幾次差，認識了那個小白臉，之後一切都變了……
^110008_pretend_mobile_33	met that damned pretty boy	自从她出了几次差，认识了那个小白脸						自從她出了幾次差，認識了那個小白臉
^110008_email_124	Unknown	未知						未知
^110008_item_313	Suffered domestic abuse by her ex-boyfriend Kevin	曾遭受前任Kevin的家暴						曾遭受前任Kevin的家暴
^110008_item_314	Could be one of the reasons for breaking up	很可能是分手的原因之一						很可能是分手的原因之一
^110008_hitalk_631	If you would have been nicer to me in the first place instead of beating me up at every turn	如果当初你能对我好一点，而不是动不动对我拳打脚踢，我也不会毫不留恋！						如果當初你能對我好一點，而不是動不動對我拳打腳踢，我也不會毫不留戀！
^110008_tb_242	Guest56448	匿名用户56448						匿名用戶56448
^110008_item_315	Lucy_77@uu.com	Lucy_77@uu.com						Lucy_77@uu.com
^110008_tb_243	The first time I was asked for my contact...	第一次被要联系方式……						第一次被要聯繫方式……
^110008_tb_244	Nice to meet you.	很高兴认识你。^ ^						很高興認識你。^ ^
^110008_tb_245	While I was traveling, I saw someone special.	出差路上，见到了一个特别的身影。						出差路上，見到了一個特別的身影。
^110008_tb_246	You are the most special.	你最特别。						你最特別。
^110008_tb_247	Guest541874	匿名用户541874						匿名用戶541874
^110008_news_148	Sources said that Ms. Lana is planning to run for president. Is the adoption merely a part of her campaign strategy? Stay tuned for the latest news from Breaking News \n\n	　　据悉，Lana女士有意参加下次总统竞选，此次收养行为，是否是为竞选作态？BreakingNews会及时报道所有最新信息。\n\n						　　據悉，Lana女士有意參加下次總統競選，此次收養行為，是否是為競選作態？BreakingNews會及時報導所有最新資訊。\n\n
^110008_common_92	ATTENTION! Strongly recommend playing the basic content first to avoid spoiler.	严重警告！为防剧透，建议先通关本体再游玩本章DLC！						嚴重警告！為防劇透，建議先通關本體再遊玩本章DLC！
^110008_common_93	Game contains sensitive words. Please re-enter.	名字含有敏感词，请重新输入						名字含有敏感詞，請重新輸入
^110008_common_94	I am still awake	我还醒着						我還醒著
^110008_common_95	Yet I am dead	我却死了						我卻死了
^110008_common_96	What the world gave me	世界给我的						世界給我的
^110008_common_97	Is too profound	都太深刻						都太深刻
^110008_common_98	I remain silent	我还沉默着						我還沉默著
^110008_common_99	I am howling	我在嘶吼呢						我在嘶吼呢
^110008_common_100	An insomniac	一个不眠的						一個不眠的
^110008_common_101	Loner	孤独患者						孤獨患者
^110008_common_102	When lies are spread around the world	当世界散布 谩辞哗说						當世界散佈 謾辭嘩說
^110008_common_103	Hypocrisy needs no polishing	虚伪奉行  不假雕琢						虛偽奉行  不假雕琢
^110008_common_104	The mire has spit out flowers	泥泞之地  吐出骨朵						泥濘之地  吐出骨朵
^110008_common_105	All of them has fallen... into my hand	全在我   指掌上堕落						全在我   指掌上墮落
^110008_common_106	Black	黑色的						黑色的
^110008_common_107	Hateful	厌憎的						厭憎的
^110008_common_108	Swallow and let it become me	放肆吞没让它成为我						放肆吞沒讓它成為我
^110008_common_109	wu~	wu~						wu~
^110008_common_110	Break and crush all the rules in the world	碾碎这世界规则全打破						碾碎這世界規則全打破
^110008_common_111	Landing on the fingers	指掌上堕落						指掌上墮落
^110008_email_125	She is harming the volunteers immorally for her own personal gain	违规使用实验器材，以非人道的方式，伤害实验志愿者，为自己谋取私利！						違規使用實驗器材，以非人道的方式，傷害實驗志願者，為自己謀取私利！
^110008_common_112	You have no place to hide!	你已无处遁形！！						你已無處遁形！！
^110008_browser_48	As the largest multinational corporation in Allivia, Company T has always presented a clean image of itself...	T集团作为阿利维亚国内最大的跨国集团，一直以来用正面形象示人...						T集團作為阿利維亞國內最大的跨國集團，一直以來用正面形象示人...
^110008_dialog_158	Impressive as always, Benjamin.	不愧是你，Benjamin。						不愧是妳，Benjamin。
^110008_item_316	Simon and Billy are still alive	 Simon和Billy还活着						 Simon和Billy還活著
^110008_item_317	Information revealed by Shirley to Vincent	 Shirley向Vincent透露的信息						 Shirley向Vincent透露的資訊
^110008_email_126	Simon(Luc****@uu.com)	Simon(Luc****@uu.com)						Simon(Luc****@uu.com)
^110008_report_1700	File NO: Monitoring Report No.014	档案编号：Monitoring Report No.014						檔案編號：Monitoring Report No.014
^110008_report_1701	File Type: Monitoring report	档案类型：监测系统报告						檔案類型：監測系統報告
^110008_report_1702	Security Level: Lv1	安全保密等级：Lv1						安全保密等級：Lv1
^110008_report_1703	Monitor Subject: Cloud Shawn. Formerly Simon Cavendish of PR department	监测对象：Cloud Shawn，原身份Simon Cavendish，公关部职员						監測對象：Cloud Shawn，原身份Simon Cavendish，公關部職員
^110008_report_1704	Alarm Level: 2/5 Controllable	预警等级：2/5  可控						預警等級：2/5  可控
^110008_report_1705	Alert source: Toothbook crawler, Hitalk real-time monitoring device A07-274	警报来源：Toothbook爬虫程序、Hitalk实时监测设备组A07-274						警報來源：Toothbook爬蟲程式、Hitalk即時監測設備組A07-274
^110008_report_1706	Monitoring Report No.014	监测系统报告No.014						監測系統報告No.014
^110008_report_1707	10/29/2018, During a routine internal screening, Toothbook crawler noticed the potential exposure of the new identity of Cloud Shawn from the PR department	2018/10/29  Toothbook爬虫程序于内部例行筛查中，发现公关部职员Cloud Shawn的新身份存在暴露风险。						2018/10/29  Toothbook爬蟲程式於內部例行篩查中，發現公關部職員Cloud Shawn的新身份存在暴露風險。
^110008_report_1708	Sensitive content: I think I've seen you somewhere.	敏感内容：感觉在哪看见过你						敏感內容：感覺在哪看見過你
^110008_report_1709	Since the employee once participated in a PR operation against Lucrezia Borgia, the Hitalk monitoring device will start long-term monitoring of the target.	由于该员工曾参与针对Lucrezia Borgia的公关行动，Hitalk监测设备自此开始对目标进行长期监控。						由於該員工曾參與針對Lucrezia Borgia的公關行動，Hitalk監測設備自此開始對目標進行長期監控。
^110008_report_1710	01/31/2021, the Hitalk monitoring device intercepted an anomaly in the target's chats. The monitoring of the user "Dimethylglyoxime" did not yield valid information. The chat logs were manually reviewed and are still considered to be at risk of exposure.	2021/01/31  Hitalk监测设备在目标聊天系统内截获多段异常内容，针对昵称“丁二酮肟”用户的监测未得到有效信息，聊天记录经人工审核后仍认为存在暴露风险。						2021/01/31  Hitalk監測設備在目標聊天系統內截獲多段異常內容，針對昵稱“丁二酮肟”用戶的監測未得到有效資訊，聊天記錄經人工審核後仍認為存在暴露風險。
